Name,Race,Nationality,Best result (totally biased selection),Career start,Career end,Career end,Career duration
Sora,Protoss,South Korea,World Cyber Games 2013 top2,6/23/13,12/31/15,Active,7/9/02
Sage,Protoss,South Korea,LG Cinema 3D Special League top4,10/24/10,6/27/14,6/27/14,9/3/03
JYP,Protoss,South Korea,HomeStory Cup IV top3,7/27/10,2/12/15,2/12/15,7/18/04
AcE,Protoss,South Korea,IEM Season V - World Championship winner,10/9/10,8/13/14,8/13/14,11/4/03
Killer,Protoss,South Korea,IEM Season VI - Global Challenge New York top8,10/9/10,7/31/14,7/31/14,10/22/03
ReaL,Protoss,South Korea,IEM Season VI - Global Challenge Sao Paulo top4,10/5/11,8/19/12,8/19/12,11/14/00
YongHwa,Protoss,South Korea,IEM Season VII World Championship top4,10/10/10,12/31/15,Active,3/22/05
InCa,Protoss,South Korea,2011 LG Cinema 3D GSL May: Code S top2,8/28/10,7/31/13,7/31/13,12/3/02
TricKsteR,Protoss,South Korea,2010 TG Sambo Intel Starcraft II Open Season 1 top8,5/1/10,10/14/14,10/14/14,6/14/04
HongUn,Protoss,South Korea,2010 TG Sambo Intel Starcraft II Open Season 1 top8,8/28/10,6/26/12,6/26/12,10/29/01
Choya,Protoss,South Korea,2011 Sony Ericsson Global StarCraft II League January top8,11/15/10,6/28/14,6/28/14,8/13/03
anypro,Protoss,South Korea,,8/28/10,2/20/12,2/20/12,6/24/01
LegalMind,Protoss,South Korea,,8/28/10,6/18/11,6/18/11,10/20/00
BanBans,Protoss,South Korea,,10/18/10,9/10/11,9/10/11,11/22/00
Brown,Protoss,South Korea,,4/25/11,11/6/13,11/6/13,7/14/02
Flying,Protoss,South Korea,,10/30/10,9/17/13,9/17/13,11/18/02
JangBi,Protoss,South Korea,The Protoss Dragon,5/20/12,8/29/13,8/29/13,4/10/01
Blaze,Protoss,South Korea,,1/13/13,12/31/15,Active,12/17/02
Ruin,Protoss,South Korea,,12/16/12,12/31/15,Active,1/14/03
