Name,Race,Nationality,Best result (totally biased selection),Career start,Career end,Career end,Career duration
TLO,Zerg,Germany,IEM Sao Paulo season VIII Top4,3/27/10,12/31/15,Active,10/5/05
DarKFoRcE,Zerg,Germany,North American Star League Season 1 top8,5/21/10,2/9/13,2/9/13,9/21/02
Lambo,Zerg,Germany,IEM Season X - gamescom top8,4/2/13,12/31/15,Active,9/29/02
iceiceice,Zerg,Hong Kong,,9/12/10,12/31/13,12/31/13,4/20/03
NesTea,Zerg,South Korea,2011 GSL July - Code S winner,10/1/10,12/31/15,Active,3/31/05
RorO,Zerg,South Korea,2013 Global StarCraft II League Season 1 winner,11/4/11,11/13/14,11/13/14,1/9/03
Curious,Zerg,South Korea,2015 DreamHack Open: Valencia winner,9/2/11,12/31/15,Active,4/29/04
Soulkey,Zerg,South Korea,2013 WCS Season 1 South Korea GSL winner,5/20/12,12/31/15,Active,8/12/03
Jaedong,Zerg,South Korea,World E-sport Championships 2014 winner,11/4/11,12/31/15,Active,2/26/04
Revival,Zerg,South Korea,IEM Season VIII - Shanghai winner,10/14/10,11/19/15,11/19/15,2/4/05
HyuN,Zerg,South Korea,2014 WCS Season 1 America winner,11/28/11,12/31/15,Active,2/2/04
soO,Zerg,South Korea,The best runner-up in the history of the game,5/20/12,12/31/15,Active,8/12/03
ByuL,Zerg,South Korea,2015 StarCraft II StarLeague Season 3 top2,3/19/12,12/31/15,Active,10/13/03
Life,Zerg,South Korea,2014 WCS Global Finals winner,3/4/11,12/31/15,Active,10/28/04
Symbol,Zerg,South Korea,2013 Global StarCraft II League Season 1 2 top2,5/11/11,12/31/15,Active,8/21/04
Losira,Zerg,South Korea,2011 GSL July: Code S top2,10/1/10,12/31/15,Active,3/31/05
Leenock,Zerg,South Korea,IGN ProLeague Season 5 winner,10/9/10,12/31/15,Active,3/23/05
DongRaeGu,Zerg,South Korea,2012 MLG Spring Championship winner,7/27/10,12/31/15,Active,6/5/05
Solar,Zerg,South Korea,DreamHack ROCCAT LotV Championship winner,4/12/12,12/31/15,Active,9/19/03
viOLet,Zerg,South Korea,2012 MLG Spring Arena 2 winner,4/18/11,12/31/15,Active,9/13/04
Golden,Zerg,South Korea,2014 WCS Season 2 Europe top4,11/30/10,10/6/14,10/6/14,11/6/03
TRUE,Zerg,South Korea,2015 DreamHack Open: Valencia top2,11/4/11,12/31/15,Active,2/26/04
Sacsri,Zerg,South Korea,2014 DreamHack Open: Valencia winner,11/4/11,12/31/15,Active,2/26/04
Check,Zerg,South Korea,2014 WCS Season 3 America top12,11/4/11,10/31/15,10/31/15,12/27/03
Rogue,Zerg,South Korea,2015 WCS Global Finals top4,11/4/11,12/31/15,Active,2/26/04
Hydra,Zerg,South Korea,2015 WCS Season 2 winner,5/8/11,12/31/15,Active,8/24/04
Dark,Zerg,South Korea,2015 KeSPA Cup Season 1 top2,3/16/12,12/31/15,Active,10/16/03
JulyZerg,Zerg,South Korea,2011 Global Starcraft II League March top2,11/15/10,7/10/12,7/10/12,8/25/01
Moon,Zerg,South Korea,IEM Season V - World Championship top2,10/12/10,11/11/12,11/11/12,1/30/02
NAKSEO,Zerg,South Korea,2012 DreamHack Open: Stockholm top4,11/15/10,6/17/12,6/17/12,8/2/01
CoCa,Zerg,South Korea,2011 MLG Raleigh top2,2/21/11,3/11/14,3/11/14,1/18/03
YugiOh,Zerg,South Korea,,11/15/10,12/29/13,12/29/13,2/13/03
Impact,Zerg,South Korea,2014 DreamHack Open: Bucharest top2,3/28/11,12/31/15,Active,10/4/04
BBoongBBoong,Zerg,South Korea,2014 DreamHack Open: Moscow top8,8/8/11,10/19/15,10/19/15,3/12/04
FruitDealer,Zerg,South Korea,2010 Global StarCraft II League Open Season 1 winner,8/24/10,3/5/12,3/5/12,7/12/01
Zenio,Zerg,South Korea,IEM Season VI - Global Challenge Kiev top4,7/27/10,1/14/14,1/14/14,6/20/03
EffOrt,Zerg,South Korea,IEM Season VIII - Singapore top8,3/21/11,9/21/14,9/21/14,7/3/03
Lucky,Zerg,South Korea,IGN ProLeague Season 3 top2,7/18/11,10/24/14,10/24/14,4/8/03
Kyrix,Zerg,South Korea,2010 Sony Ericsson StarCraft II Open Season 2 top8,10/18/10,9/19/11,9/19/11,12/1/00
jookTo,Zerg,South Korea,,8/28/10,4/11/13,4/11/13,8/14/02
TheWinD,Zerg,South Korea,,5/1/10,6/28/11,6/28/11,2/26/01
SuHoSin,Zerg,South Korea,,10/18/10,10/14/14,10/14/14,12/27/03
Sniper,Zerg,South Korea,,12/15/10,10/19/14,10/19/14,11/4/03
Crazy,Zerg,South Korea,,5/20/12,12/23/13,12/23/13,8/4/01
Shine,Zerg,South Korea,,5/20/12,12/31/15,Active,8/12/03
RagnaroK,Zerg,South Korea,,7/31/11,12/31/15,Active,6/1/04
hyvaa,Zerg,South Korea,,5/20/12,7/31/14,7/31/14,3/12/02
Sleep,Zerg,South Korea,,11/15/10,12/31/15,Active,2/14/05
SonGDuri,Zerg,South Korea,,7/16/12,2/5/14,2/5/14,7/22/01
PenguiN,Zerg,South Korea,,1/31/13,12/31/15,Active,11/29/02
OriOn,Zerg,South Korea,,5/20/12,7/19/12,7/19/12,2/28/00
Rare,Zerg,South Korea,,9/13/12,7/8/14,7/8/14,10/24/01
Action,Zerg,South Korea,,5/20/12,4/29/15,4/29/15,12/9/02
hitmaN,Zerg,South Korea,,5/20/12,9/18/14,9/18/14,4/30/02
HoeJJA,Zerg,South Korea,,5/20/12,9/18/14,9/18/14,4/30/02
Cacia,Zerg,South Korea,,5/20/12,12/23/13,12/23/13,8/4/01
Armani,Zerg,South Korea,,3/4/13,12/31/15,Active,10/28/02
oDin,Zerg,South Korea,,7/16/12,11/13/14,11/13/14,4/29/02
Mamuri,Zerg,South Korea,,3/1/12,12/31/15,Active,10/31/03
s2,Zerg,South Korea,,1/6/13,9/16/13,9/16/13,9/9/00
SSanaEE,Zerg,South Korea,,1/8/13,1/29/14,1/29/14,1/20/01
YoungJoo,Zerg,South Korea,,7/16/12,12/20/13,12/20/13,6/5/01
Calm,Zerg,South Korea,,6/9/12,9/1/13,9/1/13,3/24/01
Modesty,Zerg,South Korea,,5/20/12,12/1/12,12/1/12,7/13/00
KassiA,Zerg,South Korea,,4/11/13,11/17/14,11/17/14,8/7/01
ZerO,Zerg,South Korea,,5/20/12,10/24/13,10/24/13,6/5/01
Adios,Zerg,South Korea,,4/10/14,5/8/15,5/8/15,1/27/01
DeParture,Zerg,South Korea,,10/26/11,12/31/15,Active,3/6/04
Ready,Zerg,South Korea,,10/26/11,3/26/13,3/26/13,5/31/01
horror,Zerg,South Korea,,10/10/10,12/31/15,Active,3/22/05
Mysticism,Zerg,South Korea,,7/26/11,10/17/15,10/17/15,3/23/04
CrazymoviNG,Zerg,South Korea,,12/15/10,8/13/14,8/13/14,8/29/03
Pet,Zerg,South Korea,,10/26/11,12/31/15,Active,3/6/04
Slam,Zerg,South Korea,,4/23/12,4/28/15,4/28/15,1/4/03
Zero,Zerg,South Korea,,7/19/12,10/14/14,10/14/14,3/27/02
KingKong,Zerg,South Korea,,9/3/11,12/31/15,Active,4/28/04
Ret,Zerg,Netherlands,SteelSeries StarCraft II Challenge winner,3/13/10,12/31/15,Active,10/19/05
JazBas,Zerg,New Zealand,,7/16/11,1/14/14,1/14/14,7/1/02
Petraeus,Zerg,New Zealand,2015 WCS Season 3 top8,4/19/12,12/31/15,Active,9/12/03
Snute,Zerg,Norway,World E-sport Championships 2014 top2,5/31/11,12/31/15,Active,8/1/04
TargA,Zerg,Norway,2012 DreamHack Open: Valencia top4,3/26/11,12/31/15,Active,10/6/04
Nerchio,Zerg,Poland,2012 DreamHack Open: Bucharest winner,11/27/10,12/31/15,Active,2/2/05
Tefel,Zerg,Poland,,9/9/10,12/31/15,Active,4/22/05
uzer,Zerg,Poland,,1/29/13,10/1/13,10/1/13,9/1/00
Elazer,Zerg,Poland,,12/3/13,12/31/15,Active,1/27/02
sLivko,Zerg,Russia,IEM Season VII - Singapore top4,12/13/10,12/31/15,Active,1/17/05
LiveZerg,Zerg,Russia,2014 WCS Season 2 Europe top12,9/26/11,12/31/15,Active,4/5/04
Starbuck,Zerg,Slovenia,2014 DreamHack Open: Valencia top8,11/28/12,12/31/15,Active,2/1/03
VortiX,Zerg,Spain,2012 World Championship Series: Europe top2,7/27/10,12/18/14,12/18/14,5/23/04
Zanster,Zerg,Sweden,2015 WCS Season 3 top4,2/13/13,12/31/15,Active,11/16/02
MaDFroG,Zerg,Sweden,IEM Season V - Global Challenge Cologne top8,8/7/10,1/12/11,1/12/11,6/6/00
Miniraser,Zerg,Sweden,,1/7/11,12/31/15,Active,12/23/04
Sen,Zerg,Taiwan,2014 Taiwan open Winner,3/27/10,12/31/15,Active,10/5/05
AK,Zerg,Taiwan,2012 StarCraft II World Championship Series: Asia Finals top24,12/31/11,12/31/15,Active,12/31/03
Ian,Zerg,Taiwan,2014 Taiwan Open top4,8/7/12,12/31/15,Active,5/25/03
F91,Zerg,Taiwan,World Cyber Games 2011 top8,11/5/10,12/31/15,Active,2/24/05
Slam,Zerg,Taiwan,,5/4/13,4/28/15,4/28/15,12/24/01
DIMAGA,Zerg,Ukraine,ASUS ROG Summer 2011 winner,5/30/10,12/31/15,Active,8/2/05
Bly,Zerg,Ukraine,2012 DreamHack Open: Bucharest top2,10/18/10,12/31/15,Active,3/14/05
JonnyREcco,Zerg,United Kingdom,TeamLiquid StarLeague 4 top8,1/5/12,12/31/15,Active,12/26/03
Sheth,Zerg,USA,,4/15/10,1/22/13,1/22/13,10/9/02
ViBE,Zerg,USA,2012 World Championship Series: North America top2,3/31/11,9/27/14,9/27/14,6/29/03
Suppy,Zerg,USA,2012 Battle.net World Championship top8,4/22/11,12/31/15,Active,9/9/04
IdrA,Zerg,USA,IEM Season VI - Global Challenge Guangzhou winner,7/27/10,5/9/13,5/9/13,10/13/02
daisuki,Zerg,USA,2012 World Championship Series: USA Nationals top2,6/2/12,6/10/12,6/10/12,1/7/00
Goswser,Zerg,USA,2013 DreamHack Open: Valencia top4,11/16/11,12/31/15,Active,2/14/04
guitarcheese,Zerg,USA,,3/12/13,12/31/15,Active,10/20/02
